param_type,feature,intercept,positive_class,notes,imputer_median,scaler_mean,scaler_scale,coef_on_scaled
intercept,__INTERCEPT__,-2.3862756661418403,1,Prediction uses: z = (x_imputed - scaler_mean) / scaler_scale; logit = intercept + sum(coef_on_scaled * z),,,,
feature,age,-2.3862756661418403,1,,55.0,56.04973451327434,8.937016831192679,0.9157939924316563
feature,bmi,-2.3862756661418403,1,,26.19617644491255,26.966383847704474,4.719353016965645,0.6585274367166127
feature,history_surgery,-2.3862756661418403,1,,0.0,0.035575221238938054,0.18522857466584,0.38080097808705654
feature,frequent_symptoms,-2.3862756661418403,1,,0.0,0.16654867256637168,0.3725724254863089,0.18664854823371285
feature,history_trauma,-2.3862756661418403,1,,0.0,0.14725663716814158,0.3543615667338543,0.2700665851266359
feature,occupation_4,-2.3862756661418403,1,,1.0,0.604778761061947,0.4888981603875427,-0.18790060902151248
feature,knee_disability,-2.3862756661418403,1,,0.0,0.1104424778761062,0.313440483914717,0.14444067500001415
feature,waist_hip_ratio,-2.3862756661418403,1,,0.9104166875,0.9098306278981473,0.08674370790643687,-0.202899573454948
feature,recent_pain_7d,-2.3862756661418403,1,,0.0,0.17380530973451327,0.37894197978398114,0.15866654099091182
feature,race_raw_3,-2.3862756661418403,1,,0.0,0.4870796460176991,0.4998330365761871,-0.1748935911310487
